title,company,location,job_type,salary,description
Project Manager - Part Time,Amentum,Canberra ACT,Part time,,"Part-time Project Manager supporting Defence projects with NV1 clearance • Drafting MOUs, managing program risk, and negotiating with stakeholders • Experience in Defence project management, ITAR knowledge, strong communication"
Infrastructure Engineer,Cyos Solutions,Canberra ACT,Contract,$50 - $70,Develop and implement high-quality APIs for integration solutions • Collaborate with cross-functional teams to support system testing • Ensure compliance with Australian Government security frameworks and standards
Contracts Administrator,Manteena Commercial,Canberra ACT,Full time,$10,Minimum 3 years experience in construction contracts administration • Experience in managing commercial construction projects valued $10m-$30m • Bachelor's Degree in Construction Management or similar preferred
IoT Communications Engineer,Peoplebank,Canberra ACT,Contract,,"Lead IoT device radio configuration and network performance optimization • Electrical/Communications Engineering degree, IoT tech experience needed • Proficiency in wireless standards, RF test equipment, network analysis tools"
Senior Civil Engineer,Building Talent Recruitment,Canberra ACT,,,"Lead civil design and documentation for major infrastructure projects • Coordinate with clients, authorities, and design team for integration • Bachelor's in Civil Engineering, 5+ years experience, CPEng accreditation"
Project Delivery and Support - Permanent Opportunities,Downer,Canberra ACT,Permanent,,Experience in Defence or consulting services industries required • Strong stakeholder management and project management tools experience needed • Hold and maintain minimum Negative Vetting 1 Security clearance
"Data Engineers (Azure, Databricks, Data Factory)",Resolve Recruit,Canberra ACT,Contract,,"Design, build, and test ETL/ELT processes on Azure platforms • Minimum 5 years' experience with Azure Data Factory, Databricks • Expertise in cloud infrastructure, analytics, and data transformation."
Project Controller,Whizdom,Canberra ACT,Contract,$100 - $130,"Manage project planning, risk management, and project scheduling • Tertiary qualifications in project management or related field required • 5 years' experience in project scheduling in complex ICT projects"
Supply Support Officer,Department of Defence,Russell ACT,Full time,,"Manage Defence inventory, equipment, and stores for operational readiness • Coordinate logistics reports, material data management, and hazardous materials • Defense logistics experience, security clearance eligibility required"
Commercial Specialist,Downer Professional Services,Canberra ACT,Full time,,Experience in Defence or consulting services industries required • Knowledge of Defence procurement and contract management frameworks essential • Hold and maintain minimum Negative Vetting 1 Security clearance
Project Manager,Randstad,Canberra ACT,Contract,,Requires 5 years project management/support experience • Knowledge of International Traffic in Arms Regulations (ITAR) needed • Experience in drafting/amending Memorandum of Understanding (MOU)
Senior Civil Design Engineer,Hays Recruitment,Canberra ACT,Full time,,Lead civil infrastructure projects design and documentation • Minimum 7 years' experience in civil design within Australian consultancy • Proficiency in Autodesk Civil 3D and strong technical communication skills
Engineering Technician,Randstad,Canberra ACT,Permanent,,"Support critical defence programs through maintenance and modifications • Minimum 5 years' experience as Systems, Electronic or Mechatronics Engineer • Travel required for system demonstrations and R&D activities"
GWEO Project Cost Estimation Analysis,ASPEN - Aris Zinc Group Pty Ltd,Canberra ACT,Full time,,"Conduct cost estimation and analysis for Defence and Security sectors • Develop project cost estimation models and assess risk and uncertainty • Provide cost briefs, assurance reports, and mentoring on costing methods"
Naval Architect,Kinexus,Canberra ACT,Permanent,,"Design and conduct test activities for Defence projects • Tertiary qualifications in Naval Architecture and attention to detail • Flexible working, inclusive programs, and competitive benefits package"
Quality Systems and Performance Manager - Defence,Heaton Rail,Canberra ACT,Full time,,"Manage quality systems, conduct audits, and implement corrective actions • Develop and improve quality strategies, policies, and procedures • Qualification in related field, experience in quality management"
EL 2 - Program Director SEA1442,Australian Department of Defence,Canberra ACT,Full time,"$139,681 - $167,659","Manage diverse team delivering communications capability to Navy • Extensive knowledge of legislative frameworks and compliance requirements • Lead work team, plan resources, provide strategic direction, and accountability"
Manager Sewer & Stormwater Services,Wagga Wagga City Council,Turner ACT,Full time,,"Lead Sewer & Stormwater Services Division in maintenance, operation, renewal • Develop capital works plans and operational plans for infrastructure • Civil Engineering degree, PE registration, leadership experience required."
Casual Facilities Technician | Maintenance,Funlab,Civic Square ACT,Casual,,"Maintain and repair bowling machines, equipment, and venue attractions • Deliver top-tier guest experiences with energy and service mindset • Technical/mechanical aptitude, problem-solving, safety awareness required"
Project Managers - Defence,Tenacity CX,Canberra ACT,Contract,,"Experienced in Defence projects within LAND, DDG or CASG • Lead complex projects, manage schedules, budgets & risks • Degree in Project Management, Engineering or IT required"
